,R202G,max,diff,True
0,1.3134937692372372e-06,1.1617140855993541e-06,1.0149623076276279e-07,0
1,2.013262341828177e-06,1.1617140855993541e-06,-2.622341828176963e-09,0
2,2.1439844006156035e-06,1.1617140855993541e-06,-5.028944006156035e-07,0
3,1.8406037518556347e-06,1.1617140855993541e-06,-9.500487518556348e-07,1
4,1.2271469704609623e-06,1.1617140855993541e-06,-8.501389704609624e-07,1
5,5.660595709871218e-07,1.1617140855993541e-06,-4.245865709871218e-07,1
6,1.7306109110038214e-07,1.1617140855993541e-06,-1.0262669110038215e-07,1
7,3.6264801753790204e-08,1.1617140855993541e-06,5.9539298246209803e-08,0
8,1.9019856330288508e-08,1.1617140855993541e-06,1.7145614366971148e-07,0
9,1.1464487811288722e-07,1.1617140855993541e-06,2.194991218871128e-07,0
10,5.275708854712397e-07,1.1617140855993541e-06,-1.8476885471239707e-08,0
11,1.4339579134892514e-06,1.1617140855993541e-06,-7.482849134892513e-07,0
12,2.338364322041604e-06,1.1617140855993541e-06,-1.540085322041604e-06,1
13,2.360340860475724e-06,1.1617140855993541e-06,-1.5700328604757238e-06,1
14,1.5637072153157828e-06,1.1617140855993541e-06,-8.895792153157827e-07,1
15,7.69066131851772e-07,1.1617140855993541e-06,-2.59656131851772e-07,0
16,3.611345962893495e-07,1.1617140855993541e-06,-7.038596289349556e-09,0
17,2.1893955480951108e-07,1.1617140855993541e-06,1.3924445190488934e-08,0
18,1.7658237253266235e-07,1.1617140855993541e-06,-3.5709372532662325e-08,0
19,1.4611404500014806e-07,1.1617140855993541e-06,-5.817734500014806e-08,0
20,9.775908209690037e-08,1.1617140855993541e-06,-1.510218209690038e-08,0
21,5.520331607393893e-08,1.1617140855993541e-06,6.138668392606108e-08,0
22,4.288440624968551e-08,1.1617140855993541e-06,1.4493259375031451e-07,0
23,6.406437688873571e-08,1.1617140855993541e-06,2.542236231112643e-07,1
24,1.5901042517866071e-07,1.1617140855993541e-06,4.5376757482133927e-07,1
25,5.440639694873572e-07,1.1617140855993541e-06,8.363360305126427e-07,1
26,1.836234783281662e-06,1.1617140855993541e-06,1.3982952167183378e-06,1
27,4.775707434984173e-06,1.1617140855993541e-06,2.074772565015827e-06,1
28,8.887427835022465e-06,1.1617140855993541e-06,2.8905721649775346e-06,1
29,1.166194105659616e-05,1.1617140855993541e-06,3.60425894340384e-06,1
30,1.0689698156456643e-05,1.1617140855993541e-06,3.4741018435433584e-06,1
31,6.683259823586531e-06,1.1617140855993541e-06,2.2384001764134692e-06,1
32,3.476164911425927e-06,1.1617140855993541e-06,4.07185088574073e-07,0
33,4.718748634144777e-06,1.1617140855993541e-06,6.026136585522335e-08,0
34,4.548753404184796e-06,1.1617140855993541e-06,-1.1040734041847957e-06,0
35,3.5661073321399705e-06,1.1617140855993541e-06,-1.8729973321399707e-06,1
36,2.183172483983899e-06,1.1617140855993541e-06,-1.496271483983899e-06,1
37,9.359813904504379e-07,1.1617140855993541e-06,-6.504873904504379e-07,1
38,2.7006573165193665e-07,1.1617140855993541e-06,-8.299673165193663e-08,0
39,5.84622506919896e-08,1.1617140855993541e-06,2.0202174930801043e-07,0
40,6.583015457211758e-08,1.1617140855993541e-06,4.134848454278824e-07,0
41,3.866905778397957e-07,1.1617140855993541e-06,4.425314221602043e-07,0
42,1.5039879077732892e-06,1.1617140855993541e-06,-2.5580790777328914e-07,0
43,3.5470735462028693e-06,1.1617140855993541e-06,-1.9020935462028693e-06,1
44,5.272978058511402e-06,1.1617140855993541e-06,-3.338638058511402e-06,1
45,5.2483704157565905e-06,1.1617140855993541e-06,-3.2063404157565904e-06,1
46,3.854133870770458e-06,1.1617140855993541e-06,-1.9248238707704584e-06,1
47,2.403212202986411e-06,1.1617140855993541e-06,-7.639322029864111e-07,0
48,1.4546577400481956e-06,1.1617140855993541e-06,-1.886477400481957e-07,0
49,9.405370899458901e-07,1.1617140855993541e-06,-7.138808994589001e-08,0
50,6.885559514414621e-07,1.1617140855993541e-06,-1.4851295144146204e-07,0
