,I251L,max,diff,True
0,1.2746932389440564e-06,1.076209015523905e-06,1.4029676105594352e-07,0
1,1.7570622035215649e-06,1.076209015523905e-06,2.5357779647843525e-07,0
2,1.3750587300925915e-06,1.076209015523905e-06,2.660312699074085e-07,0
3,6.783468207088741e-07,1.076209015523905e-06,2.1220817929112584e-07,0
4,2.545314904572705e-07,1.076209015523905e-06,1.224765095427295e-07,0
5,9.34185413355591e-08,1.076209015523905e-06,4.805445866444088e-08,0
6,3.318591145187162e-08,1.076209015523905e-06,3.724848854812837e-08,0
7,8.808191626578005e-09,1.076209015523905e-06,8.6995908373422e-08,0
8,2.9180941079340772e-09,1.076209015523905e-06,1.8755790589206592e-07,0
9,1.19058031829354e-08,1.076209015523905e-06,3.2223819681706463e-07,0
10,5.62783148686316e-08,1.076209015523905e-06,4.5281568513136837e-07,0
11,1.8702712725825943e-07,1.076209015523905e-06,4.986458727417407e-07,0
12,5.010533283801405e-07,1.076209015523905e-06,2.972256716198595e-07,0
13,1.0568154190736187e-06,1.076209015523905e-06,-2.6650741907361873e-07,0
14,1.6148151423800396e-06,1.076209015523905e-06,-9.406871423800395e-07,1
15,1.734997286201335e-06,1.076209015523905e-06,-1.225587286201335e-06,1
16,1.308034065042935e-06,1.076209015523905e-06,-9.53938065042935e-07,1
17,6.985484665656977e-07,1.076209015523905e-06,-4.6568446656569776e-07,1
18,2.772768158385161e-07,1.076209015523905e-06,-1.3640381583851606e-07,1
19,1.1436012707032581e-07,1.076209015523905e-06,-2.642342707032581e-08,0
20,1.2747004976955485e-07,1.076209015523905e-06,-4.481314976955486e-08,0
21,2.4757210942739897e-07,1.076209015523905e-06,-1.3098210942739895e-07,1
22,4.138229921231615e-07,1.076209015523905e-06,-2.2600599212316147e-07,1
23,5.643018463672311e-07,1.076209015523905e-06,-2.460138463672311e-07,0
24,7.564005496820155e-07,1.076209015523905e-06,-1.4362254968201552e-07,0
25,1.289392464395587e-06,1.076209015523905e-06,9.100753560441304e-08,0
26,2.7366427097381265e-06,1.076209015523905e-06,4.978872902618731e-07,0
27,5.827165576235507e-06,1.076209015523905e-06,1.0233144237644933e-06,0
28,1.037522245086906e-05,1.076209015523905e-06,1.4027775491309396e-06,0
29,1.3846245939628495e-05,1.076209015523905e-06,1.419954060371505e-06,0
30,1.3135203407834493e-05,1.076209015523905e-06,1.0285965921655087e-06,0
31,8.488913443467047e-06,1.076209015523905e-06,4.3274655653295314e-07,0
32,3.906925072091027e-06,1.076209015523905e-06,-2.3575072091027528e-08,0
33,4.619176465471719e-06,1.076209015523905e-06,1.5983353452828135e-07,0
34,3.0629951156078426e-06,1.076209015523905e-06,3.816848843921575e-07,0
35,1.2408335055635816e-06,1.076209015523905e-06,4.522764944364182e-07,0
36,3.740966398944417e-07,1.076209015523905e-06,3.128043601055583e-07,0
37,1.1608840188855887e-07,1.076209015523905e-06,1.6940559811144113e-07,0
38,4.087817271741305e-08,1.076209015523905e-06,1.4619082728258697e-07,0
39,1.3562740985487345e-08,1.076209015523905e-06,2.469212590145127e-07,0
40,1.0694127969880985e-08,1.076209015523905e-06,4.68620872030119e-07,0
41,4.943305990858017e-08,1.076209015523905e-06,7.797889400914199e-07,0
42,1.9339108757464786e-07,1.076209015523905e-06,1.0547889124253523e-06,0
43,5.882409520799176e-07,1.076209015523905e-06,1.0567390479200824e-06,0
44,1.5000155687570518e-06,1.076209015523905e-06,4.3432443124294834e-07,0
45,2.975022380342633e-06,1.076209015523905e-06,-9.32992380342633e-07,0
46,4.266609803819429e-06,1.076209015523905e-06,-2.3372998038194293e-06,1
47,4.314469862930925e-06,1.076209015523905e-06,-2.675189862930925e-06,1
48,3.065461542359597e-06,1.076209015523905e-06,-1.7994515423595971e-06,1
49,1.5573386043900546e-06,1.076209015523905e-06,-6.881896043900546e-07,1
50,6.242893960808885e-07,1.076209015523905e-06,-8.42463960808885e-08,0
51,3.3032064663854915e-07,1.076209015523905e-06,4.328535336145081e-08,0
52,4.4696769439222796e-07,1.076209015523905e-06,-7.542669439222798e-08,0
53,8.283068835489686e-07,1.076209015523905e-06,-3.2550588354896857e-07,0
54,1.3494844843856124e-06,1.076209015523905e-06,-6.160334843856123e-07,1
55,1.8708792032304156e-06,1.076209015523905e-06,-7.360792032304155e-07,0
56,2.5300256150693358e-06,1.076209015523905e-06,-3.9037561506933585e-07,0
57,4.3985616366892365e-06,1.076209015523905e-06,4.82608363310763e-07,0
58,9.799898689863721e-06,1.076209015523905e-06,1.5965013101362806e-06,0
59,2.0727871808549204e-05,1.076209015523905e-06,2.3496281914507967e-06,0
60,3.4030635734840284e-05,1.076209015523905e-06,2.5165642651597174e-06,0
61,4.015456706741005e-05,1.076209015523905e-06,2.615032932589945e-06,0
62,3.323585067798752e-05,1.076209015523905e-06,2.351149322012476e-06,0
63,1.8884661141419187e-05,1.076209015523905e-06,1.180838858580813e-06,0
64,5.757401820483771e-06,1.076209015523905e-06,-5.630218204837713e-07,0
65,5.903448658875451e-06,1.076209015523905e-06,-4.883865887545059e-08,0
66,3.4084148372217674e-06,1.076209015523905e-06,4.979651627782333e-07,0
67,1.2299141044792178e-06,1.076209015523905e-06,5.938758955207824e-07,0
68,3.599529381728965e-07,1.076209015523905e-06,4.038550618271034e-07,0
69,1.322433887331993e-07,1.076209015523905e-06,2.4915861126680075e-07,0
70,6.257642179252767e-08,1.076209015523905e-06,2.1716957820747234e-07,0
71,2.849987281520428e-08,1.076209015523905e-06,3.045941271847957e-07,0
72,3.04769328458245e-08,1.076209015523905e-06,5.357420671541755e-07,0
73,1.1352568331991007e-07,1.076209015523905e-06,8.708483166800899e-07,0
74,4.157165274363751e-07,1.076209015523905e-06,1.098603472563625e-06,0
75,1.2286475323716827e-06,1.076209015523905e-06,8.865924676283172e-07,0
76,2.870482933484155e-06,1.076209015523905e-06,-8.952293348415495e-08,0
77,5.091040908255468e-06,1.076209015523905e-06,-1.6968209082554686e-06,1
78,6.603952507229866e-06,1.076209015523905e-06,-2.855232507229866e-06,1
79,6.199133610211223e-06,1.076209015523905e-06,-2.483273610211223e-06,1
80,4.317008107013443e-06,1.076209015523905e-06,-1.0978281070134427e-06,0
81,2.3891288303045205e-06,1.076209015523905e-06,-3.57588303045203e-08,0
82,1.1927609381301358e-06,1.076209015523905e-06,3.3122906186986426e-07,0
83,7.175376420434588e-07,1.076209015523905e-06,3.369123579565411e-07,1
84,8.549284104758499e-07,1.076209015523905e-06,1.4148058952415006e-07,0
85,1.506477971863638e-06,1.076209015523905e-06,-2.4808797186363807e-07,0
86,2.4603312997098688e-06,1.076209015523905e-06,-7.611412997098687e-07,0
87,3.45308439972295e-06,1.076209015523905e-06,-1.00244439972295e-06,1
88,4.956664787720887e-06,1.076209015523905e-06,-4.4036478772088635e-07,0
89,9.688094244214572e-06,1.076209015523905e-06,7.132057557854291e-07,0
90,2.2118707087853093e-05,1.076209015523905e-06,1.5125929121469088e-06,0
91,4.326904309771683e-05,1.076209015523905e-06,1.1881569022831746e-06,0
92,6.318411839582984e-05,1.076209015523905e-06,6.459816041701579e-07,0
93,6.610845912998643e-05,1.076209015523905e-06,1.0782408700135698e-06,0
94,4.9127666278377664e-05,1.076209015523905e-06,1.2495337216223391e-06,0
95,2.5458584435616878e-05,1.076209015523905e-06,2.847155643831199e-07,0
96,4.860823467877218e-06,1.076209015523905e-06,-3.1092346787721735e-07,0
97,4.7354706329592275e-06,1.076209015523905e-06,1.5725936704077262e-07,0
98,2.710717194221681e-06,1.076209015523905e-06,4.2638280577831914e-07,0
99,1.071956577894081e-06,1.076209015523905e-06,3.6521342210591924e-07,0
100,4.281260192864764e-07,1.076209015523905e-06,2.2669798071352358e-07,0
101,2.3950682273639744e-07,1.076209015523905e-06,1.573711772636026e-07,0
102,1.4526725761840187e-07,1.076209015523905e-06,1.5362274238159813e-07,0
103,8.308790446868304e-08,1.076209015523905e-06,2.1079609553131696e-07,0
104,9.81776190546238e-08,1.076209015523905e-06,3.3862038094537617e-07,0
105,3.117349407269878e-07,1.076209015523905e-06,4.567300592730122e-07,0
106,9.920742367240983e-07,1.076209015523905e-06,3.457057632759017e-07,0
107,2.417508340758008e-06,1.076209015523905e-06,-1.7770834075800828e-07,0
108,4.610844667536772e-06,1.076209015523905e-06,-1.116924667536772e-06,0
109,6.956308538760249e-06,1.076209015523905e-06,-2.00143853876025e-06,1
110,8.244028746169098e-06,1.076209015523905e-06,-1.9087787461690983e-06,0
111,7.848181328689819e-06,1.076209015523905e-06,-7.923913286898195e-07,0
112,6.323167647411068e-06,1.076209015523905e-06,1.6110235258893194e-07,0
113,4.466574809742182e-06,1.076209015523905e-06,3.690351902578175e-07,0
114,2.6710302184635117e-06,1.076209015523905e-06,4.51529781536488e-07,0
115,1.433917254409081e-06,1.076209015523905e-06,6.764227455909192e-07,1
