,K292I,max,diff,True
0,1.764658069841079e-06,1.056035626733772e-06,-3.4966806984107906e-07,0
1,2.5298439333066805e-06,1.056035626733772e-06,-5.192039333066804e-07,0
2,2.1464580579648213e-06,1.056035626733772e-06,-5.053680579648213e-07,0
3,1.1645909044671112e-06,1.056035626733772e-06,-2.740359044671113e-07,0
4,4.3513162238994227e-07,1.056035626733772e-06,-5.812362238994226e-08,0
5,1.2185095172785126e-07,1.056035626733772e-06,1.9622048272148725e-08,0
6,3.170939909487552e-08,1.056035626733772e-06,3.872500090512447e-08,0
7,1.1899802744351769e-08,1.056035626733772e-06,8.390429725564824e-08,0
8,1.1312469629943576e-08,1.056035626733772e-06,1.791635303700564e-07,0
9,1.3901840767775771e-08,1.056035626733772e-06,3.2024215923222426e-07,0
10,1.8842063875292727e-08,1.056035626733772e-06,4.902519361247072e-07,0
11,3.7292343623341427e-08,1.056035626733772e-06,6.483806563766586e-07,0
12,6.779973820243201e-08,1.056035626733772e-06,7.30479261797568e-07,1
13,1.024652097104601e-07,1.056035626733772e-06,6.878427902895399e-07,1
14,1.3719380280606533e-07,1.056035626733772e-06,5.369341971939347e-07,1
15,1.5302291263570914e-07,1.056035626733772e-06,3.5638708736429087e-07,1
16,1.3374505125674115e-07,1.056035626733772e-06,2.2035094874325882e-07,0
17,9.792284708180623e-08,1.056035626733772e-06,1.3494115291819379e-07,0
18,7.611237607342906e-08,1.056035626733772e-06,6.476062392657096e-08,0
19,8.045029255236641e-08,1.056035626733772e-06,7.486407447633592e-09,0
20,1.0676312126189146e-07,1.056035626733772e-06,-2.410622126189147e-08,0
21,1.6226805713719388e-07,1.056035626733772e-06,-4.5678057137193876e-08,0
22,2.7019086769306346e-07,1.056035626733772e-06,-8.237386769306344e-08,0
23,4.5586176642605933e-07,1.056035626733772e-06,-1.375737664260593e-07,0
24,9.243199468967735e-07,1.056035626733772e-06,-3.115419468967735e-07,0
25,2.194286352661245e-06,1.056035626733772e-06,-8.138863526612452e-07,1
26,4.848682260441468e-06,1.056035626733772e-06,-1.6141522604414683e-06,1
27,8.973213085257859e-06,1.056035626733772e-06,-2.1227330852578585e-06,1
28,1.3525239669156358e-05,1.056035626733772e-06,-1.7472396691563578e-06,0
29,1.6206938115232933e-05,1.056035626733772e-06,-9.407381152329337e-07,0
30,1.476384975272012e-05,1.056035626733772e-06,-6.00049752720118e-07,0
31,9.58840037772801e-06,1.056035626733772e-06,-6.667403777280097e-07,0
32,4.14284598271057e-06,1.056035626733772e-06,-2.5949598271056985e-07,0
33,5.0379328844870795e-06,1.056035626733772e-06,-2.589228844870793e-07,0
34,3.6807776824662994e-06,1.056035626733772e-06,-2.3609768246629927e-07,0
35,1.7623792615835256e-06,1.056035626733772e-06,-6.926926158352577e-08,0
36,6.069900381021077e-07,1.056035626733772e-06,7.991096189789222e-08,0
37,1.6696038013033024e-07,1.056035626733772e-06,1.1853361986966976e-07,0
38,4.446879383252781e-08,1.056035626733772e-06,1.426002061674722e-07,0
39,2.218733905678464e-08,1.056035626733772e-06,2.3829666094321538e-07,0
40,3.0340052464928704e-08,1.056035626733772e-06,4.4897494753507127e-07,0
41,4.7148610406580846e-08,1.056035626733772e-06,7.820733895934191e-07,0
42,8.731303897435576e-08,1.056035626733772e-06,1.1608669610256442e-06,0
43,1.7812431670940113e-07,1.056035626733772e-06,1.466855683290599e-06,0
44,3.2262534402318485e-07,1.056035626733772e-06,1.6117146559768152e-06,1
45,5.025773647052735e-07,1.056035626733772e-06,1.5394526352947265e-06,1
46,6.519436626020071e-07,1.056035626733772e-06,1.2773663373979926e-06,1
47,6.728170845477043e-07,1.056035626733772e-06,9.664629154522957e-07,1
48,5.462504199447936e-07,1.056035626733772e-06,7.197595800552063e-07,1
49,3.78450769588796e-07,1.056035626733772e-06,4.906982304112041e-07,1
50,2.7114689488764754e-07,1.056035626733772e-06,2.688961051123525e-07,1
51,2.6191835858117274e-07,1.056035626733772e-06,1.1168764141882723e-07,0
52,3.5473471268782616e-07,1.056035626733772e-06,1.6806287312173815e-08,0
53,5.611143228261254e-07,1.056035626733772e-06,-5.83133228261254e-08,0
54,8.648498149573431e-07,1.056035626733772e-06,-1.3139881495734306e-07,0
55,1.355073094184097e-06,1.056035626733772e-06,-2.2027309418409695e-07,0
56,2.7315390686433273e-06,1.056035626733772e-06,-5.918890686433274e-07,0
57,6.610195256761617e-06,1.056035626733772e-06,-1.7290252567616173e-06,1
58,1.4795761169304596e-05,1.056035626733772e-06,-3.399361169304595e-06,1
59,2.672278459761363e-05,1.056035626733772e-06,-3.64528459761363e-06,0
60,3.747816830637751e-05,1.056035626733772e-06,-9.3096830637751e-07,0
61,4.039591131116175e-05,1.056035626733772e-06,2.3736886888382495e-06,0
62,3.271198849368284e-05,1.056035626733772e-06,2.875011506317155e-06,0
63,1.893414218451653e-05,1.056035626733772e-06,1.1313578154834702e-06,0
64,5.2586545822311984e-06,1.056035626733772e-06,-6.427458223119836e-08,0
65,5.8577210645283665e-06,1.056035626733772e-06,-3.111064528365945e-09,0
66,3.9880505141776896e-06,1.056035626733772e-06,-8.167051417768885e-08,0
67,1.813947683844913e-06,1.056035626733772e-06,9.842316155087151e-09,0
68,6.126110010570711e-07,1.056035626733772e-06,1.5119699894292877e-07,0
69,1.7544650555689963e-07,1.056035626733772e-06,2.059554944431004e-07,0
70,5.296786903865452e-08,1.056035626733772e-06,2.2677813096134549e-07,0
71,3.0630555988702085e-08,1.056035626733772e-06,3.024634440112979e-07,0
72,4.358764574854166e-08,1.056035626733772e-06,5.226313542514584e-07,0
73,8.267445241868716e-08,1.056035626733772e-06,9.016995475813128e-07,0
74,1.8096674778380773e-07,1.056035626733772e-06,1.3333532522161925e-06,0
75,4.1179963733868827e-07,1.056035626733772e-06,1.7034403626613116e-06,1
76,8.238074979029823e-07,1.056035626733772e-06,1.957152502097018e-06,1
77,1.3226600960038065e-06,1.056035626733772e-06,2.0715599039961935e-06,1
78,1.685779746408749e-06,1.056035626733772e-06,2.0629402535912506e-06,1
79,1.7041917675642722e-06,1.056035626733772e-06,2.011668232435728e-06,1
80,1.3688053954915151e-06,1.056035626733772e-06,1.8503746045084848e-06,1
81,9.042350381856786e-07,1.056035626733772e-06,1.4491349618143217e-06,1
82,5.466344667014158e-07,1.056035626733772e-06,9.773555332985843e-07,1
83,4.2225336025960064e-07,1.056035626733772e-06,6.321966397403993e-07,1
