,P152L,max,diff,True
0,2.3254803459726015e-06,1.074837602992724e-06,-9.104903459726016e-07,1
1,3.058012992976864e-06,1.074837602992724e-06,-1.0473729929768638e-06,1
2,2.2427190064298017e-06,1.074837602992724e-06,-6.016290064298017e-07,0
3,1.0154304217213415e-06,1.074837602992724e-06,-1.2487542172134157e-07,0
4,3.349346384210017e-07,1.074837602992724e-06,4.2073361578998286e-08,0
5,1.1013741288609567e-07,1.074837602992724e-06,3.133558711390431e-08,0
6,5.567267899419538e-08,1.074837602992724e-06,1.4761721005804608e-08,0
7,3.7448473379376516e-08,1.074837602992724e-06,5.835562662062349e-08,0
8,3.007460262372457e-08,1.074837602992724e-06,1.6040139737627543e-07,0
9,4.0845727464365607e-08,1.074837602992724e-06,2.932982725356344e-07,0
10,8.505467552139014e-08,1.074837602992724e-06,4.2403932447860984e-07,0
11,1.546639761768557e-07,1.074837602992724e-06,5.310090238231444e-07,0
12,2.0651835152891114e-07,1.074837602992724e-06,5.917606484710889e-07,0
13,2.1513656834619142e-07,1.074837602992724e-06,5.751714316538086e-07,0
14,1.8998922577990605e-07,1.074837602992724e-06,4.84138774220094e-07,1
15,1.5448370523955882e-07,1.074837602992724e-06,3.5492629476044116e-07,1
16,1.2502422654635602e-07,1.074837602992724e-06,2.2907177345364395e-07,0
17,1.0948215001210187e-07,1.074837602992724e-06,1.2338184998789815e-07,0
18,1.0516681313195082e-07,1.074837602992724e-06,3.57061868680492e-08,0
19,9.412074425970685e-08,1.074837602992724e-06,-6.184044259706851e-09,0
20,7.68578754078579e-08,1.074837602992724e-06,5.799024592142091e-09,0
21,7.944784711371089e-08,1.074837602992724e-06,3.714215288628911e-08,0
22,1.4388346148452982e-07,1.074837602992724e-06,4.3933538515470205e-08,0
23,3.5392889018832845e-07,1.074837602992724e-06,-3.5640890188328425e-08,0
24,8.620113159326584e-07,1.074837602992724e-06,-2.4923331593265837e-07,0
25,1.9194557119910455e-06,1.074837602992724e-06,-5.390557119910455e-07,1
26,3.9494759543355765e-06,1.074837602992724e-06,-7.149459543355768e-07,0
27,7.231651348696141e-06,1.074837602992724e-06,-3.8117134869614047e-07,0
28,1.1160040584742654e-05,1.074837602992724e-06,6.179594152573461e-07,0
29,1.3896657135200549e-05,1.074837602992724e-06,1.3695428647994507e-06,0
30,1.3141725564606116e-05,1.074837602992724e-06,1.0220744353938852e-06,0
31,8.681864706995913e-06,1.074837602992724e-06,2.3979529300408735e-07,0
32,5.8948209514042975e-06,1.074837602992724e-06,-2.0114709514042976e-06,1
33,6.959420260312683e-06,1.074837602992724e-06,-2.180410260312683e-06,1
34,4.681672997772069e-06,1.074837602992724e-06,-1.2369929977720685e-06,0
35,1.971870057151921e-06,1.074837602992724e-06,-2.787600571519213e-07,0
36,6.146454721169636e-07,1.074837602992724e-06,7.225552788303636e-08,0
37,2.1006860990357926e-07,1.074837602992724e-06,7.542539009642074e-08,0
38,1.3069343566875176e-07,1.074837602992724e-06,5.6375564331248256e-08,0
39,1.0927787453228028e-07,1.074837602992724e-06,1.5120612546771975e-07,0
40,1.083964093296838e-07,1.074837602992724e-06,3.709185906703162e-07,0
41,1.6639097430165706e-07,1.074837602992724e-06,6.628310256983429e-07,0
42,2.9728628288861485e-07,1.074837602992724e-06,9.508937171113852e-07,0
43,4.509662130299966e-07,1.074837602992724e-06,1.1940137869700034e-06,0
44,5.636092954038118e-07,1.074837602992724e-06,1.3707307045961882e-06,0
45,6.044073742908534e-07,1.074837602992724e-06,1.4376226257091468e-06,1
46,5.697329524681674e-07,1.074837602992724e-06,1.3595770475318324e-06,1
47,4.861823149676308e-07,1.074837602992724e-06,1.1530976850323694e-06,1
48,4.080880946643759e-07,1.074837602992724e-06,8.579219053356239e-07,1
49,3.84734431736852e-07,1.074837602992724e-06,4.84414568263148e-07,1
50,4.047050408000055e-07,1.074837602992724e-06,1.3533795919999454e-07,0
51,4.0887339108413843e-07,1.074837602992724e-06,-3.5267391084138466e-08,0
52,3.9043561199447053e-07,1.074837602992724e-06,-1.889461199447055e-08,0
53,4.313415152580042e-07,1.074837602992724e-06,7.145948474199579e-08,0
54,7.065619383845512e-07,1.074837602992724e-06,2.6889061615448878e-08,0
55,1.5471714424559817e-06,1.074837602992724e-06,-4.123714424559816e-07,0
56,3.575837251205073e-06,1.074837602992724e-06,-1.436187251205073e-06,1
57,7.871060914965571e-06,1.074837602992724e-06,-2.9898909149655716e-06,1
58,1.5759698746434485e-05,1.074837602992724e-06,-4.3632987464344836e-06,1
59,2.7073348504271062e-05,1.074837602992724e-06,-3.995848504271061e-06,1
60,3.789201344116639e-05,1.074837602992724e-06,-1.344813441166387e-06,0
