,R248Q,max,diff,True
0,1.3201978369694272e-06,1.277167689503329e-06,9.479216303057278e-08,0
1,1.6226540099050639e-06,1.277167689503329e-06,3.8798599009493623e-07,0
2,1.125389964613511e-06,1.277167689503329e-06,5.157000353864891e-07,0
3,4.752515258377154e-07,1.277167689503329e-06,4.153034741622845e-07,0
4,1.3386733192457185e-07,1.277167689503329e-06,2.4314066807542816e-07,0
5,2.7393344287707724e-08,1.277167689503329e-06,1.1407965571229226e-07,0
6,5.976899576180989e-09,1.277167689503329e-06,6.4457500423819e-08,1
7,1.403353308947286e-08,1.277167689503329e-06,8.177056691052714e-08,0
8,6.607194848546352e-08,1.277167689503329e-06,1.2440405151453647e-07,0
9,2.3145940041536003e-07,1.277167689503329e-06,1.0268459958463998e-07,0
10,6.022269828110268e-07,1.277167689503329e-06,-9.313298281102685e-08,0
11,1.18777037904089e-06,1.277167689503329e-06,-5.020973790408899e-07,0
12,1.7779702792517058e-06,1.277167689503329e-06,-9.79691279251706e-07,1
13,2.0308899443960047e-06,1.277167689503329e-06,-1.2405819443960046e-06,1
14,1.8416779088302795e-06,1.277167689503329e-06,-1.1675499088302795e-06,1
15,1.4097766355821017e-06,1.277167689503329e-06,-9.003666355821017e-07,1
16,9.641872491024514e-07,1.277167689503329e-06,-6.100912491024514e-07,1
17,6.401153512118221e-07,1.277167689503329e-06,-4.072513512118221e-07,1
18,4.807533916645968e-07,1.277167689503329e-06,-3.398803916645968e-07,1
19,4.557241045045103e-07,1.277167689503329e-06,-3.6778740450451034e-07,1
20,4.655294127043821e-07,1.277167689503329e-06,-3.828725127043821e-07,1
21,4.341421439460164e-07,1.277167689503329e-06,-3.175521439460164e-07,1
22,4.1129519404174816e-07,1.277167689503329e-06,-2.2347819404174814e-07,1
23,5.244168990690922e-07,1.277167689503329e-06,-2.0612889906909214e-07,0
24,1.1354165079496857e-06,1.277167689503329e-06,-5.226385079496857e-07,1
25,3.143223491591134e-06,1.277167689503329e-06,-1.7628234915911342e-06,1
26,7.588515853260518e-06,1.277167689503329e-06,-4.353985853260518e-06,1
27,1.4146936705655249e-05,1.277167689503329e-06,-7.296456705655249e-06,1
28,1.9955510057346373e-05,1.277167689503329e-06,-8.177510057346373e-06,1
29,2.111208033102886e-05,1.277167689503329e-06,-5.845880331028861e-06,1
30,1.6404910798725862e-05,1.277167689503329e-06,-2.2411107987258607e-06,0
31,9.036380220207306e-06,1.277167689503329e-06,-1.1472022020730625e-07,0
32,3.2538090078388174e-06,1.277167689503329e-06,6.295409921611824e-07,0
33,3.7846386363441437e-06,1.277167689503329e-06,9.943713636558565e-07,0
34,2.5152272806064183e-06,1.277167689503329e-06,9.294527193935818e-07,0
35,1.0177333882508795e-06,1.277167689503329e-06,6.753766117491203e-07,0
36,2.7094225930156586e-07,1.277167689503329e-06,4.159587406984341e-07,0
37,5.4977839230522236e-08,1.277167689503329e-06,2.3051616076947776e-07,0
38,2.539229458751417e-08,1.277167689503329e-06,1.6167670541248584e-07,1
39,7.685198677094155e-08,1.277167689503329e-06,1.8363201322905847e-07,0
40,2.726029414612361e-07,1.277167689503329e-06,2.067120585387639e-07,0
41,7.880078145648745e-07,1.277167689503329e-06,4.121418543512551e-08,0
42,1.8030696738828084e-06,1.277167689503329e-06,-5.548896738828083e-07,0
43,3.3067924895519538e-06,1.277167689503329e-06,-1.6618124895519538e-06,1
44,4.856453106832057e-06,1.277167689503329e-06,-2.9221131068320572e-06,1
45,5.733311864448474e-06,1.277167689503329e-06,-3.691281864448474e-06,1
46,5.62947251020922e-06,1.277167689503329e-06,-3.7001625102092204e-06,1
47,4.831040108107394e-06,1.277167689503329e-06,-3.191760108107394e-06,1
48,3.7273716307754526e-06,1.277167689503329e-06,-2.4613616307754525e-06,1
49,2.6522829036446725e-06,1.277167689503329e-06,-1.7831339036446723e-06,1
50,1.9573460716447613e-06,1.277167689503329e-06,-1.4173030716447613e-06,1
51,1.6976368206640287e-06,1.277167689503329e-06,-1.3240308206640289e-06,1
52,1.5864199353228457e-06,1.277167689503329e-06,-1.2148789353228457e-06,1
53,1.4871842060063953e-06,1.277167689503329e-06,-9.843832060063952e-07,1
54,1.4812604696153391e-06,1.277167689503329e-06,-7.47809469615339e-07,1
55,1.7398071200755662e-06,1.277167689503329e-06,-6.050071200755661e-07,0
56,3.277175468018482e-06,1.277167689503329e-06,-1.137525468018482e-06,1
57,8.522908532411224e-06,1.277167689503329e-06,-3.641738532411224e-06,1
58,1.9754835608258427e-05,1.277167689503329e-06,-8.358435608258425e-06,1
59,3.522969985802176e-05,1.277167689503329e-06,-1.2152199858021759e-05,1
60,4.733673311845238e-05,1.277167689503329e-06,-1.078953311845238e-05,1
61,4.758384419903359e-05,1.277167689503329e-06,-4.814244199033592e-06,1
62,3.514099077023595e-05,1.277167689503329e-06,4.4600922976404994e-07,0
63,1.8355031324645886e-05,1.277167689503329e-06,1.710468675354113e-06,0
64,4.438198000720242e-06,1.277167689503329e-06,7.561819992797581e-07,0
65,5.033910238008516e-06,1.277167689503329e-06,8.206997619914842e-07,0
66,3.302148532070125e-06,1.277167689503329e-06,6.042314679298757e-07,0
67,1.3439371597036294e-06,1.277167689503329e-06,4.798528402963708e-07,0
68,3.830659449586775e-07,1.277167689503329e-06,3.807420550413224e-07,0
69,1.1096722641809989e-07,1.277167689503329e-06,2.704347735819001e-07,0
70,9.780432072483516e-08,1.277167689503329e-06,1.8194167927516485e-07,0
71,2.3170442910130659e-07,1.277167689503329e-06,1.0138957089869339e-07,0
72,6.057233448497992e-07,1.277167689503329e-06,-3.9504344849799236e-08,0
73,1.4403623507136083e-06,1.277167689503329e-06,-4.5598835071360836e-07,0
74,2.9869321944031308e-06,1.277167689503329e-06,-1.4726121944031306e-06,1
75,5.3339151029248836e-06,1.277167689503329e-06,-3.2186751029248836e-06,1
76,7.98719949952789e-06,1.277167689503329e-06,-5.20623949952789e-06,1
77,1.0061507306984684e-05,1.277167689503329e-06,-6.6672873069846834e-06,1
78,1.112167441861023e-05,1.277167689503329e-06,-7.37295441861023e-06,1
79,1.1021671349728476e-05,1.277167689503329e-06,-7.305811349728476e-06,1
80,9.450630806033133e-06,1.277167689503329e-06,-6.231450806033133e-06,1
81,6.9616526524371854e-06,1.277167689503329e-06,-4.608282652437186e-06,1
82,4.9216725136273934e-06,1.277167689503329e-06,-3.397682513627393e-06,1
83,3.7677746543028464e-06,1.277167689503329e-06,-2.7133246543028462e-06,1
84,3.186475701552837e-06,1.277167689503329e-06,-2.190066701552837e-06,1
85,3.098453009033489e-06,1.277167689503329e-06,-1.8400630090334889e-06,1
86,3.2516059174556585e-06,1.277167689503329e-06,-1.5524159174556584e-06,1
87,3.4814237413429343e-06,1.277167689503329e-06,-1.0307837413429341e-06,1
88,5.511712217061041e-06,1.277167689503329e-06,-9.95412217061041e-07,0
89,1.3383893209043215e-05,1.277167689503329e-06,-2.9825932090432134e-06,1
90,2.9990204476688286e-05,1.277167689503329e-06,-6.3589044766882845e-06,1
91,5.116205814917359e-05,1.277167689503329e-06,-6.704858149173584e-06,1
92,6.53121955467332e-05,1.277167689503329e-06,-1.4820955467332014e-06,0
93,6.244561901136524e-05,1.277167689503329e-06,4.741080988634758e-06,0
94,4.3975749242566194e-05,1.277167689503329e-06,6.401450757433808e-06,1
95,2.1831438793420864e-05,1.277167689503329e-06,3.911861206579134e-06,1
96,4.4935406657508505e-06,1.277167689503329e-06,5.635933424914974e-08,0
97,5.090373349412703e-06,1.277167689503329e-06,-1.9764334941270244e-07,0
98,3.3749641487239136e-06,1.277167689503329e-06,-2.3786414872391358e-07,0
99,1.4169505884130019e-06,1.277167689503329e-06,2.0219411586998318e-08,0
100,4.4943005505086963e-07,1.277167689503329e-06,2.0539394494913036e-07,0
101,1.850402436260492e-07,1.277167689503329e-06,2.1183775637395084e-07,0
102,2.0535076226839444e-07,1.277167689503329e-06,9.353923773160556e-08,0
103,3.855881822524223e-07,1.277167689503329e-06,-9.170418225242231e-08,0
104,8.107625856035964e-07,1.277167689503329e-06,-3.7396458560359637e-07,0
105,1.7438535407006118e-06,1.277167689503329e-06,-9.753885407006118e-07,1
106,3.512548948142002e-06,1.277167689503329e-06,-2.174768948142002e-06,1
107,6.264293177765435e-06,1.277167689503329e-06,-4.024493177765435e-06,1
108,9.697834762479711e-06,1.277167689503329e-06,-6.203914762479711e-06,1
109,1.3324085633600466e-05,1.277167689503329e-06,-8.369215633600467e-06,1
110,1.6631860797562188e-05,1.277167689503329e-06,-1.0296610797562188e-05,1
111,1.81282896084601e-05,1.277167689503329e-06,-1.10724996084601e-05,1
112,1.610563393301896e-05,1.277167689503329e-06,-9.62136393301896e-06,1
113,1.1701535676143954e-05,1.277167689503329e-06,-6.865925676143954e-06,1
114,7.745963961976474e-06,1.277167689503329e-06,-4.623403961976474e-06,1
115,5.2731680825787e-06,1.277167689503329e-06,-3.1628280825787e-06,1
116,4.067425862169173e-06,1.277167689503329e-06,-2.128745862169173e-06,1
117,3.962378272089623e-06,1.277167689503329e-06,-1.518168272089623e-06,1
118,4.311281523086936e-06,1.277167689503329e-06,-1.0002315230869355e-06,1
119,4.638749521339181e-06,1.277167689503329e-06,-1.2439521339181407e-08,0
120,6.9441714253567825e-06,1.277167689503329e-06,1.2578585746432166e-06,0
121,1.5783576735626722e-05,1.277167689503329e-06,2.267723264373279e-06,0
122,3.3752851997873326e-05,1.277167689503329e-06,4.087048002126671e-06,1
123,5.53817943206283e-05,1.277167689503329e-06,8.7087056793717e-06,1
124,6.787584008870976e-05,1.277167689503329e-06,1.4274659911290237e-05,1
125,6.181712217581717e-05,1.277167689503329e-06,1.558727782418282e-05,1
126,4.1130392041971445e-05,1.277167689503329e-06,1.1368607958028549e-05,1
127,1.926559255058153e-05,1.277167689503329e-06,5.3517074494184675e-06,1
128,3.815448574323463e-06,1.277167689503329e-06,-4.863285743234637e-07,0
129,4.362389496333471e-06,1.277167689503329e-06,-8.680394963334711e-07,0
130,2.9624340326221385e-06,1.277167689503329e-06,-7.536940326221381e-07,1
131,1.2934532105278824e-06,1.277167689503329e-06,-2.2472321052788265e-07,0
132,4.3381763834126816e-07,1.277167689503329e-06,1.5284636165873184e-07,0
133,1.9422640742342261e-07,1.277167689503329e-06,2.109455925765774e-07,0
134,2.0439069046148362e-07,1.277167689503329e-06,8.529630953851634e-08,0
135,3.324244088426555e-07,1.277167689503329e-06,-1.033104088426555e-07,0
136,6.905929990195027e-07,1.277167689503329e-06,-4.003479990195027e-07,1
137,1.5697011044701539e-06,1.277167689503329e-06,-9.86948104470154e-07,1
138,3.31378787850341e-06,1.277167689503329e-06,-2.00154787850341e-06,1
139,6.201485126773545e-06,1.277167689503329e-06,-3.4958651267735446e-06,1
140,1.0231607128616864e-05,1.277167689503329e-06,-5.391237128616864e-06,1
141,1.5039648785823028e-05,1.277167689503329e-06,-7.424468785823028e-06,1
142,1.9606526612014007e-05,1.277167689503329e-06,-9.172626612014007e-06,1
143,2.1430134414519205e-05,1.277167689503329e-06,-9.629434414519206e-06,1
144,1.856824811060935e-05,1.277167689503329e-06,-8.022348110609353e-06,1
145,1.3014139929528916e-05,1.277167689503329e-06,-5.5419099295289155e-06,1
146,8.157247443818961e-06,1.277167689503329e-06,-3.6114374438189617e-06,1
147,5.068714369392481e-06,1.277167689503329e-06,-2.133914369392481e-06,1
148,3.466097130368193e-06,1.277167689503329e-06,-6.954071303681929e-07,0
149,3.1089971042103863e-06,1.277167689503329e-06,6.719028957896133e-07,0
150,3.4580155344075033e-06,1.277167689503329e-06,1.856494465592497e-06,1
151,4.211353187556258e-06,1.277167689503329e-06,3.2855368124437413e-06,1
152,7.102171051504586e-06,1.277167689503329e-06,5.962228948495414e-06,1
153,1.5841584587658635e-05,1.277167689503329e-06,1.0897815412341365e-05,1
154,3.230908601672132e-05,1.277167689503329e-06,1.8054613983278682e-05,1
155,5.1189252036199407e-05,1.277167689503329e-06,2.454074796380059e-05,1
156,6.0844814498621424e-05,1.277167689503329e-06,2.5508485501378575e-05,1
157,5.374988744757265e-05,1.277167689503329e-06,1.9691812552427346e-05,1
158,3.478682660416404e-05,1.277167689503329e-06,1.1108273395835962e-05,1
159,1.5950632815576085e-05,1.277167689503329e-06,4.251567184423916e-06,1
160,2.895785916760768e-06,1.277167689503329e-06,-4.375459167607679e-07,0
161,3.4141994212090513e-06,1.277167689503329e-06,-7.517194212090515e-07,1
162,2.4016587354553625e-06,1.277167689503329e-06,-5.707187354553624e-07,1
163,1.0932488040237385e-06,1.277167689503329e-06,-3.179880402373848e-08,0
164,3.9150421539149606e-07,1.277167689503329e-06,3.0909878460850393e-07,0
165,1.5990811333138448e-07,1.277167689503329e-06,3.4846288666861554e-07,0
166,1.1399688182650356e-07,1.277167689503329e-06,2.295341181734964e-07,0
167,1.9003663039055263e-07,1.277167689503329e-06,4.4625369609447385e-08,0
168,4.937295780869153e-07,1.277167689503329e-06,-2.2440557808691525e-07,1
169,1.292445190286186e-06,1.277167689503329e-06,-6.511261902861861e-07,1
170,3.0814513896693456e-06,1.277167689503329e-06,-1.3371913896693456e-06,1
171,6.3242771414867404e-06,1.277167689503329e-06,-2.269407141486741e-06,1
172,1.0805956042498842e-05,1.277167689503329e-06,-3.0058460424988414e-06,1
173,1.5562067582393116e-05,1.277167689503329e-06,-2.9789675823931166e-06,1
174,1.9223362780020026e-05,1.277167689503329e-06,-2.417262780020028e-06,0
175,1.9916930354962432e-05,1.277167689503329e-06,-2.07523035496243e-06,0
176,1.6859541258667334e-05,1.277167689503329e-06,-2.2286412586673346e-06,0
177,1.1834081683883043e-05,1.277167689503329e-06,-2.4001016838830433e-06,1
178,7.209819080092276e-06,1.277167689503329e-06,-1.961629080092277e-06,1
179,4.0796877739575535e-06,1.277167689503329e-06,-9.299677739575537e-07,0
180,2.4753226014761244e-06,1.277167689503329e-06,4.7327739852387564e-07,0
181,1.9811590280085442e-06,1.277167689503329e-06,2.1336409719914557e-06,1
182,2.2108554279137182e-06,1.277167689503329e-06,3.7886845720862828e-06,1
183,3.393140359310304e-06,1.277167689503329e-06,5.787779640689696e-06,1
184,7.015543095417529e-06,1.277167689503329e-06,9.599756904582472e-06,1
185,1.556417151185033e-05,1.277167689503329e-06,1.653612848814967e-05,1
186,2.9794583339023407e-05,1.277167689503329e-06,2.5261316660976596e-05,1
187,4.4941527004702175e-05,1.277167689503329e-06,3.022177299529783e-05,1
188,5.201001772248443e-05,1.277167689503329e-06,2.6294182277515573e-05,1
189,4.564212298447664e-05,1.277167689503329e-06,1.608877701552336e-05,1
