,T125R,max,diff,True
0,1.6444902308216343e-06,1.0984206599276616e-06,-2.2950023082163432e-07,0
1,2.1464828524351015e-06,1.0984206599276616e-06,-1.358428524351014e-07,0
2,1.6540128888764592e-06,1.0984206599276616e-06,-1.2922888876459223e-08,0
3,8.815609211383227e-07,1.0984206599276616e-06,8.994078861677246e-09,0
4,4.068111464060979e-07,1.0984206599276616e-06,-2.980314640609787e-08,0
5,2.102361677082184e-07,1.0984206599276616e-06,-6.876316770821842e-08,0
6,1.4680918722905525e-07,1.0984206599276616e-06,-7.637478722905526e-08,1
7,1.1937116884485723e-07,1.0984206599276616e-06,-2.356706884485722e-08,0
8,9.639751610659127e-08,1.0984206599276616e-06,9.407848389340872e-08,0
9,9.011419644595993e-08,1.0984206599276616e-06,2.440298035540401e-07,0
10,1.3281710828721126e-07,1.0984206599276616e-06,3.7627689171278874e-07,0
11,2.586046455763352e-07,1.0984206599276616e-06,4.2706835442366485e-07,0
12,4.822867089823428e-07,1.0984206599276616e-06,3.1599229101765715e-07,0
13,7.955393764646675e-07,1.0984206599276616e-06,-5.231376464667521e-09,0
14,1.101426414672257e-06,1.0984206599276616e-06,-4.27298414672257e-07,1
15,1.232760490138442e-06,1.0984206599276616e-06,-7.233504901384419e-07,1
16,1.1427574824401418e-06,1.0984206599276616e-06,-7.886614824401418e-07,1
17,9.167572018664837e-07,1.0984206599276616e-06,-6.838932018664837e-07,1
18,6.633502331830024e-07,1.0984206599276616e-06,-5.224772331830024e-07,1
19,4.469059092026549e-07,1.0984206599276616e-06,-3.5896920920265494e-07,1
20,2.944770595499357e-07,1.0984206599276616e-06,-2.118201595499357e-07,1
21,2.2349461685245185e-07,1.0984206599276616e-06,-1.0690461685245185e-07,0
22,2.126664029615949e-07,1.0984206599276616e-06,-2.4849402961594883e-08,0
23,2.3165589631044211e-07,1.0984206599276616e-06,8.663210368955791e-08,0
24,3.4947104280638573e-07,1.0984206599276616e-06,2.633069571936143e-07,0
25,8.838558024932897e-07,1.0984206599276616e-06,4.965441975067102e-07,0
26,2.558509383080144e-06,1.0984206599276616e-06,6.760206169198555e-07,0
27,6.1180228508072506e-06,1.0984206599276616e-06,7.324571491927496e-07,0
28,1.0987713788963474e-05,1.0984206599276616e-06,7.902862110365257e-07,0
29,1.4597475680710898e-05,1.0984206599276616e-06,6.687243192891015e-07,0
30,1.4202095061397946e-05,1.0984206599276616e-06,-3.829506139794444e-08,0
31,9.669495238046808e-06,1.0984206599276616e-06,-7.478352380468079e-07,0
32,4.5617488568741965e-06,1.0984206599276616e-06,-6.783988568741967e-07,0
33,5.292359481263802e-06,1.0984206599276616e-06,-5.133494812638017e-07,0
34,3.661120931995867e-06,1.0984206599276616e-06,-2.164409319958669e-07,0
35,1.7383812750601657e-06,1.0984206599276616e-06,-4.5271275060165915e-08,0
36,7.454803124349585e-07,1.0984206599276616e-06,-5.857931243495849e-08,0
37,4.282393792204883e-07,1.0984206599276616e-06,-1.4274537922048828e-07,0
38,3.515814911449057e-07,1.0984206599276616e-06,-1.645124911449057e-07,1
39,3.043483709543541e-07,1.0984206599276616e-06,-4.386437095435408e-08,0
40,2.7611153064143713e-07,1.0984206599276616e-06,2.0320346935856287e-07,0
