,V218M,max,diff,True
0,1.7901459567770526e-06,1.2811640907445192e-06,-3.751559567770527e-07,0
1,2.3044558628568063e-06,1.2811640907445192e-06,-2.938158628568062e-07,0
2,1.5966530513958625e-06,1.2811640907445192e-06,4.44369486041375e-08,0
3,6.674937681984863e-07,1.2811640907445192e-06,2.2306123180151361e-07,0
4,2.276738981200117e-07,1.2811640907445192e-06,1.493341018799883e-07,0
5,9.170263514389324e-08,1.2811640907445192e-06,4.9770364856106747e-08,0
6,5.39473956300583e-08,1.2811640907445192e-06,1.6487004369941688e-08,0
7,9.84413924767728e-08,1.2811640907445192e-06,-2.637292476772796e-09,0
8,3.277207457660793e-07,1.2811640907445192e-06,-1.372447457660793e-07,0
9,8.899075755049605e-07,1.2811640907445192e-06,-5.557635755049605e-07,0
10,1.6270534112116728e-06,1.2811640907445192e-06,-1.1179594112116729e-06,1
11,2.0243234835353197e-06,1.2811640907445192e-06,-1.3386504835353198e-06,1
12,1.920977742324335e-06,1.2811640907445192e-06,-1.122698742324335e-06,1
13,1.5599266299733832e-06,1.2811640907445192e-06,-7.696186299733832e-07,1
14,1.1293678416821036e-06,1.2811640907445192e-06,-4.5523984168210356e-07,1
15,7.590309377858027e-07,1.2811640907445192e-06,-2.496209377858027e-07,0
16,4.991478504667242e-07,1.2811640907445192e-06,-1.4505185046672424e-07,0
17,3.201303282832531e-07,1.2811640907445192e-06,-8.726632828325307e-08,0
18,2.0295322354364027e-07,1.2811640907445192e-06,-6.208022354364025e-08,0
19,1.2062050311252407e-07,1.2811640907445192e-06,-3.268380311252407e-08,0
20,8.688576778271884e-08,1.2811640907445192e-06,-4.228867782718846e-09,0
21,1.6934256780135776e-07,1.2811640907445192e-06,-5.2752567801357755e-08,0
22,3.737615472401705e-07,1.2811640907445192e-06,-1.859445472401705e-07,1
23,6.073852683684755e-07,1.2811640907445192e-06,-2.8909726836847543e-07,1
24,8.775101488815659e-07,1.2811640907445192e-06,-2.6473214888156587e-07,0
25,1.5309907481902124e-06,1.2811640907445192e-06,-1.5059074819021246e-07,0
26,3.3559671722183397e-06,1.2811640907445192e-06,-1.2143717221834007e-07,0
